Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Acceptable
552,0,8.156265323,0,0.259536035,0,0.246942393,78.04748492,2.880038095,0,6.041596447,4.368136789,0,1939.59,1347.5,592.09,0.990004145,0,0.990004145,0.009995855,1
553,0,9.175798489,0,0.129768018,0,0.123471197,82.12605282,3.240042857,0,3.020798223,2.184068395,0,1789.45,1517.35,272.1,0.990047723,0,0.990047723,0.009952277,1
554,0,0,0,6.221604073,0,8.287592579,42.09964654,0,0,22.44854077,20.94261603,0,2229.75,918.77,1310.98,0.957903992,0,0.957903992,0.042096008,1
555,0,1.019533165,0,5.599443666,0,7.458833321,46.51014396,0.360004762,0,20.2036867,18.84835443,0,2225.75,936.83,1288.92,0.938220001,0,0.938220001,0.061779999,0
556,0,2.039066331,0,4.977283259,0,6.630074064,50.92064138,0.720009524,0,17.95883262,16.75409283,0,2213.48,948.4,1265.08,0.923937547,0,0.923937547,0.076062453,0
557,0,3.058599496,0,4.355122851,0,5.801314806,55.3311388,1.080014286,0,15.71397854,14.65983122,0,2191.75,954.99,1236.76,0.926621571,0,0.926621571,0.073378429,0
558,0,4.078132662,0,3.732962444,0,4.972555548,59.74163622,1.440019047,0,13.46912446,12.56556962,0,2159.12,959.39,1199.73,0.940156831,0,0.940156831,0.059843169,0
559,0,5.097665827,0,3.110802037,0,4.14379629,64.15213363,1.800023809,0,11.22427039,10.47130802,0,2113.65,963.07,1150.58,0.954331008,0,0.954331008,0.045668992,1
560,0,6.117198992,0,2.488641629,0,3.315037032,68.56263105,2.160028571,0,8.97941631,8.377046413,0,2052.59,966.6,1085.99,0.967821485,0,0.967821485,0.032178515,1
561,0,7.136732158,0,1.866481222,0,2.486277774,72.97312847,2.520033333,0,6.734562232,6.28278481,0,1972.06,972.3,999.76,0.978182902,0,0.978182902,0.021817098,1
562,0,8.156265323,0,1.244320815,0,1.657518516,77.38362589,2.880038095,0,4.489708155,4.188523206,0,1867.84,980.35,887.49,0.986153106,0,0.986153106,0.013846894,1
563,0,9.175798489,0,0.622160407,0,0.828759258,81.79412331,3.240042857,0,2.244854077,2.094261603,0,1748.68,1010.33,738.35,0.990270543,0,0.990270543,0.009729457,1
564,0,0,29.55063042,12.04500855,0,19.57842332,23.42091985,15.40501785,0,0,0,0,1119.65,886.94,232.71,0.230571216,0.093181773,0.32375299,0.67624701,0
565,0,0,28.25182697,5.023084532,0,26.76433769,23.44113111,16.51961971,0,0,0,0,1211,888.64,322.36,0.242590927,0.066346486,0.308937413,0.691062587,0
566,0,1.019533165,25.42664427,4.520776079,0,24.08790392,29.71748007,15.2276625,0,0,0,0,1137.64,833.6,304.04,0.517837619,0.056180959,0.574018578,0.425981422,0
567,0,2.039066331,22.60146157,4.018467626,0,21.41147015,35.99382903,13.93570529,0,0,0,0,1152.4,771.17,381.23,0.859759138,0.088343595,0.948102733,0.051897267,0
568,0,3.058599496,19.77627888,3.516159172,0,18.73503638,42.27017799,12.64374808,0,0,0,0,1155.49,755.38,400.11,0.879862719,0.006601249,0.886463967,0.113536033,0
569,0,4.078132662,16.95109618,3.013850719,0,16.05860261,48.54652696,11.35179087,0,0,0,0,1129.46,908.63,220.83,0.90028356,0,0.90028356,0.09971644,0
570,0,5.097665827,14.12591348,2.511542266,0,13.38216884,54.82287592,10.05983366,0,0,0,0,1108.55,913.68,194.87,0.934645962,0,0.934645962,0.065354038,0
571,0,6.117198992,11.30073079,2.009233813,0,10.70573507,61.09922488,8.767876454,0,0,0,0,1234.98,910.99,323.99,0.95597566,0,0.95597566,0.04402434,1
572,0,7.136732158,8.47554809,1.50692536,0,8.029301306,67.37557384,7.475919245,0,0,0,0,1364.15,907.48,456.67,0.976198708,0,0.976198708,0.023801292,1
573,0,8.156265323,5.650365393,1.004616906,0,5.352867537,73.6519228,6.183962036,0,0,0,0,1483.74,920.23,563.51,0.98939333,0,0.98939333,0.01060667,1
574,0,9.175798489,2.825182697,0.502308453,0,2.676433769,79.92827177,4.892004827,0,0,0,0,1590.24,1062.11,528.13,0.990079806,0,0.990079806,0.009920194,1
575,0,0,8,20,32,35,5,0,0,0,0,0,1132.08,865.95,266.13,0,0.99003027,0.99003027,0.00996973,1
576,0,1.019533165,7.2,18,28.8,31.5,13.12046207,0.360004762,0,0,0,0,1049.46,841.66,207.8,0.030471828,0.923160536,0.953632364,0.046367636,1
577,0,2.039066331,6.4,16,25.6,28,21.24092415,0.720009524,0,0,0,0,1156.78,820.57,336.21,0.272609738,0.507207604,0.779817342,0.220182658,0
578,0,3.058599496,5.6,14,22.4,24.5,29.36138622,1.080014286,0,0,0,0,1170.76,810.61,360.15,0.593559813,0.241288523,0.834848336,0.165151664,0
579,0,4.078132662,4.8,12,19.2,21,37.48184829,1.440019047,0,0,0,0,1122.36,806.7,315.66,0.81488809,0.051585191,0.866473281,0.133526719,0
580,0,5.097665827,4,10,16,17.5,45.60231036,1.800023809,0,0,0,0,1090.28,762.34,327.94,0.818933275,0,0.818933275,0.181066725,0
581,0,6.117198992,3.2,8,12.8,14,53.72277244,2.160028571,0,0,0,0,1025.94,751.76,274.18,0.941776022,0,0.941776022,0.058223978,0
582,0,7.136732158,2.4,6,9.6,10.5,61.84323451,2.520033333,0,0,0,0,1187.98,753.48,434.5,0.973379767,0,0.973379767,0.026620233,1
583,0,8.156265323,1.6,4,6.4,7,69.96369658,2.880038095,0,0,0,0,1380.78,760.76,620.02,0.986011441,0,0.986011441,0.013988559,1
584,0,9.175798489,0.8,2,3.2,3.5,78.08415865,3.240042857,0,0,0,0,1546.32,820.19,726.13,0.990012928,0,0.990012928,0.009987072,1
585,0,0,10,0.1,41,43.9,5,0,0,0,0,0,989.31,864.21,125.1,0,0.990013066,0.990013066,0.009986934,1
586,0,0,9,0.79,36.9,39.71,7.2,0,0,3.5,2.9,0,1001.96,858.07,143.89,0.019867693,0.980132307,1,4.66E-15,1
587,0,0,8,1.48,32.8,35.52,9.4,0,0,7,5.8,0,1288.31,864.68,423.63,0.083495325,0.916504675,1,1.46E-13,1
588,0,0,7,2.17,28.7,31.33,11.6,0,0,10.5,8.7,0,1481.27,811.32,669.95,0.156497197,0.833507259,0.990004455,0.009995545,1
589,0,0,6,2.86,24.6,27.14,13.8,0,0,14,11.6,0,1625.48,811.04,814.44,0.265743843,0.691484912,0.957228755,0.042771245,1
590,0,0,5,3.55,20.5,22.95,16,0,0,17.5,14.5,0,1745.59,811.03,934.56,0.427943149,0.508039347,0.935982496,0.064017504,0
591,0,0,4,4.24,16.4,18.76,18.2,0,0,21,17.4,0,1857.93,809.87,1048.06,0.599253641,0.311276199,0.910529839,0.089470161,0
592,0,0,3,4.93,12.3,14.57,20.4,0,0,24.5,20.3,0,1972.9,809.11,1163.79,0.723210562,0.174102307,0.89731287,0.10268713,0
593,0,0,2,5.62,8.2,10.38,22.6,0,0,28,23.2,0,2096.49,807.96,1288.53,0.815526425,0.077641611,0.893168036,0.106831964,0
594,0,0,1,6.31,4.1,6.19,24.8,0,0,31.5,26.1,0,2232,804.76,1427.24,0.883664929,0.014871552,0.898536481,0.101463519,0
595,0,0,0,1.245564379,0,21.33225034,36.32906946,0,0,25.37045639,15.72265943,0,2082.91,1226.78,856.13,0.990020839,0,0.990020839,0.009979161,1
596,0,1.019533165,0,1.121007941,0,19.1990253,41.31662459,0.360004762,0,22.83341075,14.15039349,0,2098.9,925.31,1173.59,0.939918703,0,0.939918703,0.060081297,0
597,0,2.039066331,0,0.996451503,0,17.06580027,46.30417972,0.720009524,0,20.29636511,12.57812755,0,2107.17,926.53,1180.64,0.859134415,0,0.859134415,0.140865585,0
598,0,3.058599496,0,0.871895065,0,14.93257524,51.29173484,1.080014286,0,17.75931947,11.0058616,0,2105.4,931.09,1174.31,0.764415357,0,0.764415357,0.235584643,0
599,0,4.078132662,0,0.747338627,0,12.7993502,56.27928997,1.440019047,0,15.22227383,9.433595659,0,2091.36,937.66,1153.7,0.717377019,0,0.717377019,0.282622981,0
600,0,5.097665827,0,0.622782189,0,10.66612517,61.2668451,1.800023809,0,12.6852282,7.861329716,0,2062.42,941.82,1120.6,0.788939306,0,0.788939306,0.211060694,0
601,0,6.117198992,0,0.498225751,0,8.532900134,66.25440022,2.160028571,0,10.14818256,6.289063773,0,2015.14,949.12,1066.02,0.853538613,0,0.853538613,0.146461387,0
602,0,7.136732158,0,0.373669314,0,6.399675101,71.24195535,2.520033333,0,7.611136917,4.716797829,0,1945.1,969.89,975.21,0.903576381,0,0.903576381,0.096423619,0
603,0,8.156265323,0,0.249112876,0,4.266450067,76.22951047,2.880038095,0,5.074091278,3.144531886,0,1848.16,1003.14,845.02,0.942808557,0,0.942808557,0.057191443,0
604,0,9.175798489,0,0.124556438,0,2.133225034,81.2170656,3.240042857,0,2.537045639,1.572265943,0,1735.86,1019.88,715.98,0.973755222,0,0.973755222,0.026244778,1
605,0,0,5,9,0,30,39,17,0,0,0,0,1184.22,1087.33,96.89,0.991985266,0,0.991985266,0.008014734,1
606,0,0,24,8,0,23,39,6,0,0,0,0,1195.69,885.92,309.77,0.679743222,0.049593059,0.729336281,0.270663719,0
